,BWV-1,BWV-2,DaG-1,DaG-2,DaG-3,PIG-1,PIG-2,PIG-3,PN-1,PN-2,PN-3,RS-1,RS-2,STR-1,STR-2,STR-3,VS-1,VS-2,VS-3,DIAG-1,DIAG-2,DIAG-3,DIAG-4,DIAG-5,8 all avg,8 avg,7 all avg,7 avg,DIAG avg
Acc,95.9375,50.666664,55.0,61.864407,40.11299,94.618835,14.583333,31.451612,74.35898,68.49315,39.784946,99.30796,18.867926,82.101166,45.454548,41.489365,98.722046,17.307693,0.0,0.0,93.15069,56.435646,37.5,0.0,50.71706,34.851143,54.217003,31.767645,37.417267
AUC,90.36667,90.36666,69.85085,74.15101,76.51221,80.15955,75.606384,80.43983,82.93638,80.86593,78.238266,77.430305,77.430305,77.502396,88.934204,75.42589,81.03718,82.28863,79.433784,86.14776,85.813614,85.000336,87.23944,68.37906,80.48153,80.3559,79.94613,79.69242,82.51604
Recall,95.9375,50.666664,55.0,61.864407,40.11299,94.618835,14.583333,31.451612,74.35898,68.49315,39.784946,99.30796,18.867926,82.101166,45.454548,41.489365,98.722046,17.307693,0.0,0.0,93.15069,56.435646,37.5,0.0,50.71706,34.851143,54.217003,31.767645,37.417267
Spec,50.666664,95.9375,69.830505,69.31408,89.90826,33.139534,97.69452,94.46494,77.82427,77.10843,89.40398,18.867926,99.30796,52.173912,95.15669,86.04651,12.195122,98.542274,100.0,98.944595,56.25,93.877556,94.366196,100.0,77.1259,93.61834,74.08331,93.58131,88.68767
Prec,89.24419,74.5098,38.194447,46.20253,76.344086,64.72393,46.666668,72.22222,68.63905,63.694267,53.623188,76.9437,90.909096,76.17329,54.05405,48.148148,81.102356,64.28571,0.0,0.0,72.59787,76.0,42.857143,0.0,57.380657,61.469566,62.40425,59.393787,38.291
